298,298,298,298,299,299,299,299,299,299,299,299,299,298,299,299,299,299,299,299
298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
298,298,298,298,298,299,299,299,299,299,299,299,299,299,298,299,299,299,299,299
298,298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299,299
299,298,298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299
299,298,298,298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299
299,298,298,298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299
299,298,298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299
299,298,298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299
299,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299,298,298,298
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,298,298,298
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
298,298,405,405,405,405,298,298,298,298,298,298,298,298,298,298,298,298,298,298
299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
405,405,405,645,646,405,405,405,405,405,405,405,405,405,405,645,646,405,405,405
405,405,405,685,686,405,405,405,690,689,690,689,405,405,405,685,686,405,405,405
444,445,445,445,445,445,445,689,730,729,730,729,690,445,445,445,445,445,445,446
484,485,485,485,485,485,485,485,525,525,525,525,485,485,485,485,485,485,485,486
524,525,525,525,525,525,525,525,525,524,524,524,525,525,525,525,525,525,525,526
564,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,566
